GBL,20090212,0.004,0.004,0.003,0.003,1700000
GBP,20090212,0.135,0.135,0.135,0.135,29600
GCL,20090212,3.36,3.52,3.36,3.45,375576
GCN,20090212,0.01,0.011,0.01,0.011,240000
GCR,20090212,0.012,0.012,0.011,0.012,232975
GCS,20090212,0.38,0.38,0.38,0.38,51500
GDA,20090212,0.009,0.009,0.008,0.008,850631
GDN,20090212,0.06,0.063,0.056,0.056,1814000
GDY,20090212,1.045,1.06,1.01,1.06,139009
GFF,20090212,1.41,1.475,1.405,1.425,4794942
GFL,20090212,0.68,0.68,0.68,0.68,847
GGE,20090212,0.007,0.007,0.006,0.007,1580000
GGG,20090212,0.2,0.2,0.2,0.2,206250
GGP,20090212,0.1,0.1,0.095,0.095,28000
GGY,20090212,0.025,0.025,0.025,0.025,174040
GIP,20090212,0.057,0.058,0.04,0.058,349816
GIR,20090212,0.38,0.4,0.37,0.395,451033
GJT,20090212,0.035,0.038,0.035,0.038,106231
GLE,20090212,0.15,0.15,0.15,0.15,30000
GLH,20090212,0.012,0.012,0.012,0.012,46150
GLM,20090212,0.03,0.03,0.03,0.03,81000
GMG,20090212,0.65,0.66,0.615,0.64,12825415
GMI,20090212,0.745,0.785,0.745,0.75,158905
GML,20090212,0.08,0.08,0.08,0.08,14000
GMX,20090212,0.875,0.875,0.875,0.875,8750
GNC,20090212,4.8,4.91,4.8,4.85,18899
GNI,20090212,0.053,0.055,0.053,0.055,200000
GNM,20090212,0.4,0.4,0.4,0.4,213000
GNS,20090212,0.715,0.75,0.715,0.745,733376
GOP,20090212,0.026,0.026,0.025,0.025,29500
GOW,20090212,2.45,2.45,2.45,2.45,1334
GPG,20090212,0.645,0.645,0.64,0.64,121021
GPM,20090212,0.098,0.1,0.095,0.095,40000
GPN,20090212,0.005,0.006,0.004,0.004,2750000
GPT,20090212,0.605,0.615,0.56,0.58,20808491
GRB,20090212,0.015,0.016,0.015,0.016,58000
GRD,20090212,0.33,0.33,0.31,0.33,260844
GRK,20090212,0.048,0.048,0.045,0.045,81000
GRR,20090212,0.4,0.41,0.4,0.41,39471
GRY,20090212,0.085,0.086,0.081,0.086,225000
GSE,20090212,0.016,0.016,0.016,0.016,40000
GTP,20090212,0.13,0.135,0.125,0.13,195219
GUD,20090212,5.3,5.61,5.2,5.45,50921
GUN,20090212,0.052,0.052,0.052,0.052,3000
GWR,20090212,0.305,0.305,0.29,0.29,74450
GWT,20090212,2.29,2.52,2.29,2.45,428338
GXL,20090212,0.75,0.75,0.74,0.74,12500
GXY,20090212,0.35,0.35,0.35,0.35,20000
GZL,20090212,1.3,1.3,1.3,1.3,1000
HAP,20090212,0.068,0.068,0.068,0.068,9000
HAV,20090212,0.3,0.3,0.28,0.28,17000
HDF,20090212,1.865,1.95,1.76,1.81,342458
HDN,20090212,0.09,0.095,0.09,0.095,104000
HEG,20090212,0.17,0.175,0.16,0.17,563249
HFA,20090212,0.059,0.062,0.056,0.061,1822846
HGG,20090212,1.65,1.68,1.635,1.655,838190
HGN,20090212,0.18,0.18,0.18,0.18,10000
HGO,20090212,0.115,0.125,0.115,0.125,623173
HHL,20090212,3.5,3.5,3.47,3.49,16975
HHV,20090212,0.51,0.525,0.51,0.515,111810
HHY,20090212,1,1,1,1,112500
HIG,20090212,0.068,0.069,0.068,0.069,124000
HIL,20090212,1.73,1.825,1.715,1.765,187758
HIN,20090212,0.69,0.7,0.66,0.665,128635
HIP,20090212,1.18,1.18,1.18,1.18,5700
HLG,20090212,0.3,0.3,0.275,0.275,20342
HMC,20090212,0.05,0.05,0.05,0.05,55000
HNG,20090212,0.68,0.68,0.68,0.68,13000
HRL,20090212,0.105,0.105,0.105,0.105,100000
HRR,20090212,0.155,0.165,0.155,0.165,33041
HSK,20090212,0.6,0.65,0.6,0.65,144878
HSN,20090212,0.36,0.37,0.36,0.37,2900
HSP,20090212,4.14,4.27,4.1,4.21,360235
HST,20090212,1.13,1.14,1.11,1.125,335012
HTA,20090212,0.1,0.1,0.095,0.095,301758
HTE,20090212,0.04,0.042,0.04,0.04,974248
HTI,20090212,0.02,0.02,0.02,0.02,50000
