Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:EBR,"EBR Systems Inc. (ASX:EBR)",https://www.listcorp.com/asx/ebr/ebr-systems-inc,"	342006000",0.96,-0.15,-13.51,"Health Care"
ASX:CDP,"Carindale Property Trust (ASX:CDP)",https://www.listcorp.com/asx/cdp/carindale-property-trust,"	340828000",4.25,-0.05,-1.16,"Real Estate"
ASX:BBOZ,"BetaShares Australian Equities Strong Bear Hedge Fund (ASX:BBOZ)",https://www.listcorp.com/asx/bboz/betashares-australian-equities-strong-bear-hedge-fund,"	339801000",30.62,2.31,8.16,Unclassified
ASX:IGL,"IVE Group Limited (ASX:IGL)",https://www.listcorp.com/asx/igl/ive-group-limited,"	338757000",2.13,-0.07,-3.18,"Communication Services"
ASX:IJH,"iShares S&P Mid-Cap ETF (ASX:IJH)",https://www.listcorp.com/asx/ijh/ishares-s-and-p-mid-cap-etf,"	338187000",44.59,-1.66,-3.59,Unclassified
ASX:NVX,"Novonix Limited (ASX:NVX)",https://www.listcorp.com/asx/nvx/novonix-limited,"	337523000",0.64,-0.05,-6.57,"Information Technology"
ASX:HZN,"Horizon Oil Limited (ASX:HZN)",https://www.listcorp.com/asx/hzn/horizon-oil-limited,"	332718000",0.195,-0.01,-4.88,Energy
ASX:WCMQ,"WCM Quality Global Growth Fund (Quoted Managed Fund) (ASX:WCMQ)",https://www.listcorp.com/asx/wcmq/wcm-quality-global-growth-fund-quoted-managed-fund,"	332197000",8.5,-0.21,-2.41,Unclassified
ASX:GDI,"GDI Property Group (ASX:GDI)",https://www.listcorp.com/asx/gdi/gdi-property-group,"	329891000",0.605,-0.01,-1.63,"Real Estate"
ASX:GNG,"GR Engineering Services Limited (ASX:GNG)",https://www.listcorp.com/asx/gng/gr-engineering-services-limited,"	328810000",1.96,-0.01,-0.51,Materials
ASX:AGX1,"Antipodes Global Shares (Quoted Managed Fund) (ASX:AGX1)",https://www.listcorp.com/asx/agx1/antipodes-global-shares,"	327734000",5.61,-0.12,-2.09,Unclassified
ASX:REP,"RAM Essential Services Property Fund (ASX:REP)",https://www.listcorp.com/asx/rep/ram-essential-services-property-fund,"	325641000",0.625,-0.01,-2.34,"Real Estate"
ASX:BSE,"Base Resources Limited (ASX:BSE)",https://www.listcorp.com/asx/bse/base-resources-limited,"	323953000",0.25,-0.02,-9.09,Materials
