ASX Listed Companies (1 May 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
BTC,BTC Health Ltd,,"18,213,800",0.001,,,
BTH,Bigtincan Holdings Ltd,Information Technology,"238,010,000",0.012,,,
BTI,Bailador Technology Investments Ltd,Financials,"99,516,000",0.005,,,
BUB,Bubs Australia Ltd,Consumer Staples,"504,266,000",0.026,,,
BUD,Buddy Technologies Ltd,Information Technology,"23,831,100",0.001,,,
BUG,Buderim Group Ltd,Consumer Staples,"12,473,200",0.001,,,
BUX,Buxton Resources Ltd,Materials,"11,020,500",0.001,,,
BUY,Bounty Oil & Gas NL,Energy,"7,627,210",0,,,
BVS,Bravura Solutions Ltd,Information Technology,"1,187,510,000",0.062,,,
BWF,Blackwall Ltd,Financials,"18,626,700",0.001,,,
BWP,BWP Trust,Real Estate,"2,267,610,000",0.118,,,
BWR,Blackwall Property Trust,Real Estate,"185,645,000",0.01,,,
BWX,BWX Ltd,Consumer Staples,"448,542,000",0.023,,,
BXB,Brambles Ltd,Industrials,"16,869,000,000",0.877,,,
BXN,Bioxyne Ltd,Consumer Staples,"7,041,600",0,,,
BYE,Byron Energy Ltd,Energy,"117,582,000",0.006,,,
BYH,Bryah Resources Ltd,Materials,"2,824,470",0,,,
BYI,Beyond International Ltd,Communication Services,"42,935,900",0.002,,,
C6C,Copper Mountain Mining Corporation,Materials,"11,172,200",0.001,,,
CA8,Coassets Ltd,Financials,"13,425,300",0.001,,,
CAA,Capral Ltd,Materials,"49,685,900",0.003,,,
