ASX Listed Companies (1 October 2019),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
BPH,BPH Energy Limited,Health Care,"5,980,560",0,,,
BPL,Broken Hill Prospect,Materials,"3,844,970",0,,,
BPP,Babylon Pump & Power,Industrials,"10,913,200",0,,,
BPT,Beach Energy Limited,Energy,"5,834,060,000",256,,,
BRB,Breaker Res NL,Materials,"57,057,700",3,,,
BRG,Breville Group Limited,Consumer Discretionary,"2,099,150,000",92,,,
BRI,Big RIV Indust Limited,Materials,"75,899,700",3,,,
BRK,Brookside Energy Limited,Energy,"7,993,780",0,,,
BRL,Bathurst Res Limited,Materials,"162,162,000",7,,,
BRN,Brainchip Limited,Information Technology,"60,489,500",3,,,
BRU,Buru Energy,Energy,"114,500,000",5,,,
BRV,Big River Gold Limited,Materials,"25,026,800",1,,,
BSA,BSA Limited,Industrials,"189,381,000",8,,,
BSE,Base Res Limited,Materials,"303,322,000",13,,,
BSL,Bluescope Steel Limited,Materials,"6,188,800,000",272,,,
BSM,Bass Metals Limited,Materials,"25,288,900",1,,,
BSN,Bisan Limited,Financials,519.422,0,,,
BSP,Black Star Petroleum,Energy,"1,295,030",0,,,
BSR,Bassari Resources,Materials,"32,259,100",1,,,
BST,Barrack ST Invest,,"18,318,000",1,,,
BSX,Blackstone Limited,Materials,"24,948,000",1,,,
BTC,BTC Health Limited,,"30,654,900",1,,,
BTH,Bigtincan Holdings Limited,Information Technology,"149,301,000",7,,,
BTI,Bailador Tech INV,Financials,"114,235,000",5,,,
BTK,Botai Technology Limited,Information Technology,"2,279,280",0,,,
BUB,Bubs Aust Limited,Consumer Staples,"683,357,000",0.03,,,
BUD,Buddy Tech,Information Technology,"49,346,100",2,,,
BUG,Buderim Group Limited,Consumer Staples,"18,924,800",1,,,
BUX,Buxton Resources Limited,Materials,"13,605,500",1,,,
BUY,Bounty Oil & Gas NL,Energy,"4,767,000",0,,,
BVS,Bravura Solution Limited,Information Technology,"1,006,730,000",44,,,
BWF,Blackwall Limited,Financials,"57,435,100",3,,,
BWP,BWP Trust Ordinary Units FP,Real Estate,"2,537,420,000",111,,,
BWR,Blackwall Prop Trust Ordinary Units FP,Real Estate,"197,526,000",9,,,
BWX,BWX Limited,Consumer Staples,"480,847,000",21,,,
BXB,Brambles Limited,Industrials,"17,920,800,000",787,,,
BXN,Bioxyne Limited,Consumer Staples,"11,522,600",1,,,
BYE,Byron Energy Limited,Energy,"253,934,000",11,,,
BYH,Bryah Resources Limited,Materials,"3,636,790",0,,,
BYI,Beyond International,Consumer Discretionary,"61,337,000",3,,,
C6C,Copper Mountain,Materials,"17,759,900",1,,,
CA8,Coassets Limited,Financials,"17,556,200",1,,,
CAA,Capral Limited,Materials,"55,705,000",2,,,
CAD,Caeneus Minerals,Materials,"4,282,520",0,,,
CAE,Cannindah Resources,Materials,"2,899,090",0,,,
CAF,Centrepoint Alliance,Financials,"17,866,000",1,,,
CAG,Caperangeltd,Information Technology,"30,703,100",1,,,
CAI,Calidus Resources,Materials,"53,672,200",2,,,
CAJ,Capitol Health,Health Care,"180,574,000",8,,,
CAM,Clime Capital,,"106,143,000",5,,,
CAN,Cann Group Limited,Health Care,"223,342,000",0.01,,,
CAP,Carpentaria Resource,Materials,"12,105,800",1,,,
CAQ,CAQ Holdings Limited,Real Estate,"6,460,080",0,,,
CAR,Carsales.com Limited,Information Technology,"3,742,070,000",164,,,
CAT,Catapult Group Int Limited,Information Technology,"278,707,000",12,,,
CAV,Carnavale Resources,Materials,"5,941,620",0,,,
CAY,Canyon Resources Limited,Materials,"68,707,900",3,,,
CAZ,Cazaly Resources,Materials,"15,921,200",1,,,
CBA,Commonwealth Bank,Financials,"143,088,000,000",6282,,,
CBY,Canterbury Resources,Materials,"13,815,600",1,,,
CCA,Change Financial Limited,Information Technology,"53,375,600",2,,,
CCE,Carnegie CLN Energy,Utilities,"8,644,360",0,,,
CCG,Commschoice,Information Technology,"11,819,300",1,,,
CCJ,County International,Energy,"1,196,750",0,,,
CCL,Coca-Cola Amatil,Consumer Staples,"7,710,600,000",338,,,
CCP,Credit Corp Group,Financials,"1,655,230,000",73,,,
CCV,Cash Converters,Consumer Discretionary,"86,301,300",4,,,
CCX,City Chic Collective,Consumer Discretionary,"478,668,000",21,,,
CCZ,Castillo Copper Limited,Materials,"13,473,500",1,,,
CD1,Cordish Dixon Pef I Ordinary Units FP,,"64,372,600",3,,,
