Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:SKY,"Sky Metals Limited (ASX:SKY)",https://www.listcorp.com/asx/sky/sky-metals-limited,"	58719600",0.071,-0.00,-1.39,Materials
ASX:MKR,"Manuka Resources Limited (ASX:MKR)",https://www.listcorp.com/asx/mkr/manuka-resources-limited,"	58661800",0.051,-0.00,-3.77,Materials
ASX:SHN,"Sunshine Metals Limited (ASX:SHN)",https://www.listcorp.com/asx/shn/sunshine-metals-limited,"	58510300",0.022,-0.00,-4.35,Materials
ASX:JAN,"Janison Education Group Limited (ASX:JAN)",https://www.listcorp.com/asx/jan/janison-education-group,"	58474900",0.225,0.00,0,"Information Technology"
ASX:AR3,"Australian Rare Earths Limited (ASX:AR3)",https://www.listcorp.com/asx/ar3/australian-rare-earths-limited,"	58379400",0.22,-0.04,-16.98,Materials
ASX:TOE,"Toro Energy Limited (ASX:TOE)",https://www.listcorp.com/asx/toe/toro-energy-limited,"	58336700",0.48,-0.00,-1.03,Energy
ASX:BOL,"Boom Logistics Limited (ASX:BOL)",https://www.listcorp.com/asx/bol/boom-logistics-limited,"	58217000",1.425,-0.01,-1.04,Industrials
ASX:FLX,"Felix Group Holdings Ltd (ASX:FLX)",https://www.listcorp.com/asx/flx/felix-group-holdings-ltd,"	58207600",0.19,-0.00,-2.56,"Information Technology"
ASX:BMT,"Beamtree Holdings Limited (ASX:BMT)",https://www.listcorp.com/asx/bmt/beamtree-holdings-limited,"	58119400",0.2,0.00,0,"Health Care"
ASX:CTE,"Cryosite Limited (ASX:CTE)",https://www.listcorp.com/asx/cte/cryosite-limited,"	58083400",1.19,0.00,0,"Health Care"
ASX:GUM,"Gumtree Australia Markets Limited (ASX:GUM)",https://www.listcorp.com/asx/gum/gumtree-australia-markets-limited,"	57775100",0.18,0.00,0,"Communication Services"
ASX:MPA,"Mad Paws Holdings Limited (ASX:MPA)",https://www.listcorp.com/asx/mpa/mad-paws-holdings-limited,"	57665200",0.14,0.00,0,"Consumer Discretionary"
ASX:AEBD,"Betashares Ethical Australian Composite Bond ETF (ASX:AEBD)",https://www.listcorp.com/asx/aebd/betashares-ethical-australian-composite-bond-etf,"	57657700",51.66,0.18,0.35,Unclassified
