CQR,20191119,4.45,4.505,4.425,4.49,711991
CR1,20191119,0.2,0.2,0.19,0.19,259371
CRL,20191119,0.025,0.025,0.023,0.023,903265
CRN,20191119,2.1,2.11,2.01,2.01,861440
CRO,20191119,0.007,0.008,0.007,0.008,2989983
CSD,20191119,0.175,0.19,0.175,0.19,53461
CSL,20191119,271.8,274.27,270.68,274.27,684648
CSR,20191119,4.62,4.7,4.62,4.69,3463250
CSS,20191119,0.74,0.75,0.7,0.7,57539
CSV,20191119,0.305,0.305,0.305,0.305,193536
CT1,20191119,0.014,0.014,0.013,0.013,1937420
CTD,20191119,20.15,20.47,19.92,20.27,585126
CTM,20191119,0.015,0.016,0.015,0.016,2629202
CTP,20191119,0.165,0.17,0.165,0.165,616964
CTX,20191119,28.47,28.65,28.18,28.32,1020362
CUE,20191119,0.115,0.12,0.115,0.12,266458
CUL,20191119,0.015,0.015,0.015,0.015,4545
CUP,20191119,1.04,1.04,1.04,1.04,14689
CUV,20191119,30.99,31.29,29.69,29.84,208434
CV1,20191119,0.145,0.15,0.14,0.14,1392451
CVC,20191119,2.21,2.21,2.2,2.2,14105
CVF,20191119,0.975,0.975,0.965,0.965,63246
CVL,20191119,0.44,0.44,0.44,0.44,1477
CVN,20191119,0.345,0.35,0.335,0.35,2429766
CVW,20191119,0.565,0.565,0.55,0.55,14088
CWN,20191119,12.77,12.83,12.69,12.81,1336232
CWP,20191119,7.4,7.48,7.35,7.48,59577
CWX,20191119,0.235,0.24,0.23,0.24,134765
CWY,20191119,1.92,1.945,1.915,1.945,5506306
CXL,20191119,0.7,0.71,0.7,0.71,141062
CXM,20191119,0.046,0.046,0.044,0.044,641638
CXO,20191119,0.037,0.037,0.036,0.036,738573
CXZ,20191119,0.026,0.026,0.025,0.025,1548177
CY5,20191119,0.035,0.035,0.033,0.033,95847
CYC,20191119,1.2,1.205,1.18,1.205,25350
CYL,20191119,2.55,2.55,2.5,2.5,37320
CYM,20191119,0.23,0.23,0.23,0.23,100000
CYP,20191119,1.27,1.28,1.235,1.26,120907
CZL,20191119,0.011,0.011,0.01,0.01,1158050
CZN,20191119,0.002,0.002,0.002,0.002,7525000
CZR,20191119,0.007,0.007,0.007,0.007,250000
D2O,20191119,1.445,1.465,1.445,1.45,281412
DCC,20191119,0.03,0.031,0.03,0.031,452044
DCG,20191119,0.91,0.91,0.9,0.905,50685
DCL,20191119,0.09,0.09,0.09,0.09,50000
DCN,20191119,1.395,1.445,1.395,1.43,967639
DDD,20191119,0.002,0.002,0.002,0.002,250000
DDR,20191119,7.28,7.28,6.84,7.12,37769
DDT,20191119,0.011,0.011,0.01,0.01,1032312
DEG,20191119,0.053,0.053,0.049,0.052,3212285
DEM,20191119,0.245,0.255,0.245,0.25,120494
DEV,20191119,0.093,0.093,0.085,0.085,340595
DGH,20191119,1.445,1.465,1.445,1.465,2941
DHG,20191119,3.52,3.55,3.49,3.53,2970112
DHR,20191119,0.003,0.003,0.003,0.003,265000
DIV,20191119,23.18,23.35,23.18,23.35,15707
DJW,20191119,3.61,3.64,3.61,3.61,111151
DKM,20191119,0.17,0.175,0.17,0.175,12982
DLC,20191119,0.005,0.006,0.005,0.006,400000
DME,20191119,0.2,0.2,0.2,0.2,30000
DMP,20191119,51.5,51.81,51.11,51.72,333519
DNA,20191119,0.084,0.085,0.082,0.082,299801
DNK,20191119,0.63,0.63,0.575,0.59,125674
DOW,20191119,8.06,8.17,8.03,8.13,1413006
DRE,20191119,0.007,0.008,0.007,0.008,1220000
DRO,20191119,0.34,0.355,0.33,0.335,965369
DRX,20191119,0.011,0.011,0.011,0.011,160000
DSE,20191119,0.044,0.044,0.043,0.043,1053995
DTC,20191119,1.085,1.1,1.08,1.08,279942
DTI,20191119,0.022,0.022,0.02,0.02,95235
DTL,20191119,3.76,3.88,3.655,3.82,622877
DTR,20191119,0.002,0.002,0.002,0.002,23194016
DTS,20191119,0.105,0.105,0.105,0.105,14315
DUB,20191119,1.395,1.415,1.38,1.39,121813
DUI,20191119,4.87,4.88,4.83,4.88,28416
DVN,20191119,0.15,0.15,0.15,0.15,7225
DW8,20191119,0.007,0.007,0.006,0.006,9158745
DWS,20191119,1.08,1.095,1.065,1.09,92788
DXB,20191119,0.105,0.11,0.105,0.11,122130
DXN,20191119,0.051,0.051,0.048,0.049,3941535
DXS,20191119,11.9,12.06,11.83,12.04,2879189
DYL,20191119,0.28,0.28,0.28,0.28,6250
E25,20191119,0.18,0.2,0.18,0.2,50010
E2M,20191119,0.15,0.18,0.15,0.18,29000
EAF,20191119,1.295,1.295,1.295,1.295,293305
EAI,20191119,0.995,1,0.995,1,126677
